Complaint ID 1,Complaint ID 2,threshold
"3236982
","3234819
",33.33333333333333

89119,222XX,100.0

89119,704XX,100.0

89119,200XX,100.0

89119,CA,100.0

89119,"3234221
",100.0

77082,"3236012
",100.0

77082,"3236759
",100.0

77082,"3236160
",100.0

77082,462XX,100.0

77082,775XX,100.0

77082,782XX,100.0

77082,953XX,100.0

77082,"3234253
",100.0

77082,672XX,100.0

77082,"3234536
",100.0

77082,750XX,100.0

77082,432XX,100.0

77082,06460,100.0

77082,"3234900
",100.0

77082,19134,100.0

77082,"3234266
",100.0

77082,358XX,100.0

77082,850XX,100.0

77082,"3233866
",100.0

77082,"3235086
",100.0

77082,902XX,100.0

77082,070XX,100.0

30126,840XX,100.0

30126,810XX,100.0

30126,38116,100.0

30126,"3235709
",100.0

30126,33436,100.0

30126,"3235595
",100.0

30126,20785,33.33333333333333

30126,152XX,33.33333333333333

30126,30328,100.0

30126,532XX,100.0

30126,064XX,100.0

30126,"3234043
",100.0

30126,"3234228
",100.0

30126,"3234914
",100.0

30126,"3234230
",33.33333333333333

30126,776XX,100.0

28540,64130,100.0

28540,303XX,100.0

28540,"3236063
",100.0

28540,"3236110
",100.0

28540,760XX,100.0

070XX,"3236012
",100.0

070XX,"3236759
",100.0

070XX,"3236160
",100.0

070XX,462XX,100.0

070XX,775XX,100.0

070XX,782XX,100.0

070XX,953XX,100.0

070XX,"3234253
",100.0

070XX,672XX,100.0

070XX,"3234536
",100.0

070XX,750XX,100.0

070XX,432XX,100.0

070XX,06460,100.0

070XX,"3234900
",100.0

070XX,19134,100.0

070XX,"3234266
",100.0

070XX,358XX,100.0

070XX,850XX,100.0

070XX,"3233866
",100.0

070XX,"3235086
",100.0

070XX,902XX,100.0

070XX,070XX,100.0

"3236752
","3236012
",100.0

"3236752
","3236759
",100.0

"3236752
","3236160
",100.0

"3236752
",462XX,100.0

"3236752
",775XX,100.0

"3236752
",782XX,100.0

"3236752
",953XX,100.0

"3236752
","3234253
",100.0

"3236752
",672XX,100.0

"3236752
","3234536
",100.0

"3236752
",750XX,100.0

"3236752
",432XX,100.0

"3236752
",06460,100.0

"3236752
","3234900
",100.0

"3236752
",19134,100.0

"3236752
","3234266
",100.0

"3236752
",358XX,100.0

"3236752
",850XX,100.0

"3236752
","3233866
",100.0

"3236752
","3235086
",100.0

"3236752
",902XX,100.0

"3236752
",070XX,100.0

"3237556
","3235783
",50.0

"3237556
","3235763
",33.33333333333333

"3237556
","3234819
",100.0

"3235461
","3236012
",100.0

"3235461
","3236759
",100.0

"3235461
","3236160
",100.0

"3235461
",462XX,100.0

"3235461
",775XX,100.0

"3235461
",782XX,100.0

"3235461
",953XX,100.0

"3235461
","3234253
",100.0

"3235461
",672XX,100.0

"3235461
","3234536
",100.0

"3235461
",750XX,100.0

"3235461
",432XX,100.0

"3235461
",06460,100.0

"3235461
","3234900
",100.0

"3235461
",19134,100.0

"3235461
","3234266
",100.0

"3235461
",358XX,100.0

"3235461
",850XX,100.0

"3235461
","3233866
",100.0

"3235461
","3235086
",100.0

"3235461
",902XX,100.0

"3235461
",070XX,100.0

"3235984
","3236297
",100.0

"3235984
","3236260
",100.0

"3235984
",GA,100.0

"3235984
",704XX,100.0

329XX,"3236012
",100.0

329XX,"3236759
",100.0

329XX,"3236160
",100.0

329XX,462XX,100.0

329XX,775XX,100.0

329XX,782XX,100.0

329XX,953XX,100.0

329XX,"3234253
",100.0

329XX,672XX,100.0

329XX,"3234536
",100.0

329XX,750XX,100.0

329XX,432XX,100.0

329XX,06460,100.0

329XX,"3234900
",100.0

329XX,19134,100.0

329XX,"3234266
",100.0

329XX,358XX,100.0

329XX,850XX,100.0

329XX,"3233866
",100.0

329XX,"3235086
",100.0

329XX,902XX,100.0

329XX,070XX,100.0

339XX,840XX,100.0

339XX,810XX,100.0

339XX,38116,100.0

339XX,"3235709
",100.0

339XX,33436,100.0

339XX,"3235595
",100.0

339XX,20785,33.33333333333333

339XX,152XX,33.33333333333333

339XX,30328,100.0

339XX,532XX,100.0

339XX,064XX,100.0

339XX,"3234043
",100.0

339XX,"3234228
",100.0

339XX,"3234914
",100.0

339XX,"3234230
",33.33333333333333

339XX,776XX,100.0

104XX,64130,100.0

104XX,303XX,100.0

104XX,"3236063
",100.0

104XX,"3236110
",100.0

104XX,760XX,100.0

30331,"3236012
",100.0

30331,"3236759
",100.0

30331,"3236160
",100.0

30331,462XX,100.0

30331,775XX,100.0

30331,782XX,100.0

30331,953XX,100.0

30331,"3234253
",100.0

30331,672XX,100.0

30331,"3234536
",100.0

30331,750XX,100.0

30331,432XX,100.0

